Name,Folder Path,Ingredients,Steps
Recipe_Ancho-Orange_Chicken_with_Kale_Rice_Roasted_Carrots,IDM232-assets\pdf\," 4 Boneless, Skinless Chicken Breasts*1 Tbsp Ancho Chile Paste*2 Tbsps Crème Fraîche*3 Tbsps Golden Raisins*Rice*Carrots*Garlic*Kale*Lime*Orange*Salt*Pepper*Olive Oil*Water*Butter"," Place an oven rack in the center of the oven, then preheat to 450°F. * In a medium pot, combine the rice, a big pinch of salt, and 1 1/2 cups of water. * Heat to boiling on high. * Once boiling, cover and reduce the heat to low. * Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. * Turn off the heat and fluff with a fork. * Cover to keep warm. * While the rice cooks, wash and dry the fresh produce. * Peel the carrots; quarter lengthwise, then halve crosswise. * Peel and roughly chop the garlic. * Remove and discard the stems of the kale; finely chop the leaves. * Using a peeler, remove the lime rind, avoiding the white pith; mince to get 2 teaspoons of zest (or use a zester). * Halve the lime crosswise. * Halve the orange; squeeze the juice into a bowl, straining out any seeds. * Whisk the orange juice in the chile paste and 2 tablespoons of water until smooth to create the glaze. * Place the sliced carrots on a sheet pan. * Drizzle with olive oil and season with salt and pepper; toss to coat and arrange in an even layer. * Roast 15 to 17 minutes, or until tender when pierced with a fork. * Remove from the oven. * While the carrots roast, in a large pan (nonstick, if available), heat 2 teaspoons of olive oil on medium-high until hot. * Add the chopped garlic and cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. * Add the chopped kale; season with salt and pepper. * Cook, stirring occasionally, 3 to 4 minutes, or until slightly wilted. * Add 1/3 cup of water; season with salt and pepper. * Cook, stirring occasionally, 3 to 4 minutes, or until the kale has wilted and the water has cooked off. * Transfer the kale mixture to the pot of cooked rice. * Stir to combine; season with salt and pepper to taste. * Cover to keep warm. * Wipe out the pan. * While the carrots continue to roast, pat the chicken dry with paper towels; season with salt and pepper on both sides. * In the same pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the seasoned chicken and cook 4 to 6 minutes on the first side, or until browned. * Flip and cook 2 to 3 minutes, or until lightly browned. * Add the glaze and cook, frequently spooning the glaze over the chicken, 2 to 3 minutes, or until the chicken is coated and cooked through. * Turn off the heat. * Stir the butter and the juice of 1 lime half into the glaze until the butter has melted. * Season with salt and pepper to taste. * To the pot of cooked rice and kale, add the lime zest, crème fraîche, raisins, and the juice of the remaining lime half. * Stir to combine; season with salt and pepper to taste. * Serve the glazed chicken with the finished rice and roasted carrots. * Top the chicken with the remaining glaze from the pan. * Enjoy.
"
Recipe_Beef_Medallions_Mushroom_Sauce_with_Mashed_Potatoes,IDM232-assets\pdf\,4 oz Cremini Mushrooms*¾ lb Yukon Gold Potatoes*Garlic*Shallot*Kale*Olive Oil*Butter*Salt*Pepper*Water*Mustard*Verjus," Large dice the potatoes. * Peel the garlic. * Using the flat side of your knife, smash 1 clove of garlic to flatten. * Roughly chop the remaining clove of garlic. * Peel and thinly slice the shallot. * Remove and discard the stems of the kale; roughly chop the leaves. * Thinly slice the mushrooms. * Add the diced potatoes and smashed garlic to a pot of boiling water and cook 13 to 15 minutes, or until tender when pierced with a fork. * Turn off the heat. * Drain thoroughly and return the potatoes to the pot. * Add half the butter and a drizzle of olive oil. * Using a fork, mash to your desired consistency. * Season with salt and pepper to taste. * Cover to keep warm. * While the potatoes cook, in a large pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the sliced shallot; season with salt and pepper. * Cook, stirring occasionally, 1 to 2 minutes, or until softened. * Add the chopped kale and 1/4 cup of water; season with salt and pepper. * Cook, stirring frequently, 3 to 4 minutes, or until the kale has wilted and the water has cooked off. * Transfer the kale mixture to a bowl and season with salt and pepper to taste. * Cover with aluminum foil to keep warm. * Rinse and wipe out the pan. * While the potatoes continue to cook, pat the beef dry with paper towels. * Season the beef with salt and pepper on both sides. * In the same pan, heat 1 tablespoon of olive oil on medium-high until hot. * Add the seasoned beef and cook 2 to 3 minutes per side for medium-rare, or until browned and cooked to your desired degree of doneness. * Leaving any browned bits (or fond) in the pan, transfer the beef to a plate and let rest for at least 5 minutes. * While the beef rests, add a drizzle of olive oil to the pan of reserved fond and heat on medium-high until hot. * Add the sliced mushrooms in an even layer. * Cook, without stirring, 2 to 3 minutes, or until browned. * Add the chopped garlic; season with salt and pepper. * Cook, stirring frequently, 1 to 2 minutes, or until softened and fragrant. * Add the mustard, verjus, and 2 tablespoons of water (be careful, as the liquid may splatter); season with salt and pepper. * Cook, stirring frequently and scraping up any fond, 30 seconds to 1 minute, or until thoroughly combined. * Turn off the heat and stir in the remaining butter until melted. * (If the sauce seems too thick, gradually add up to 2 tablespoons of water to achieve your desired consistency). * Season with salt and pepper to taste. * Serve the rested beef with the mashed potatoes and cooked kale. * Top the beef and potatoes with the mushroom sauce. * Enjoy."
Recipe_Broccoli_Basil_Pesto_Sandwiches_with_Romaine_Citrus_Salad,IDM232-assets\pdf\,1 Piece Focaccia Bread*1 8-Ounce Can Tomato Sauce*½ lb Fresh Mozzarella Cheese*2 Clementines*2 cloves Garlic*2 Romaine Lettuce Hearts*1 lb Broccoli*1 oz Golden Or Red Sweet Piquante Peppers*2 Tbsps Crème Fraîche*1 Tbsp Dijon Mustard*½ cup Basil & Cashew Pesto (Contains Pine Nuts)*⅓ cup Shaved Parmesan Cheese,"Place an oven rack in the center of the oven, then preheat to 475°F. * Wash and dry the fresh produce. * Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. * Peel and roughly chop the garlic. * Halve the focaccia. * Grate the asiago cheese on the large side of a box grater. * Tear the mozzarella cheese into small pieces. * In a bowl, combine the tomato sauce and Italian seasoning; season with salt and pepper to taste. * In a large pan (nonstick, if available), heat 2 teaspoons of olive oil on medium-high until hot. * Add the broccoli pieces; season with salt and pepper. * Cook, stirring occasionally, 3 to 4 minutes, or until slightly softened. * Add the chopped garlic; cook, stirring frequently, 1 to 2 minutes, or until slightly softened and fragrant. * Add 1/2 cup of water; season with salt and pepper. * Cook, stirring occasionally, 4 to 5 minutes, or until the broccoli has softened and the water has cooked off. * Turn off the heat. * Line a sheet pan with foil. * Place the halved focaccia on the foil, cut side up; drizzle with olive oil. * Top with the seasoned tomato sauce. * Top the focaccia bottom with the grated asiago cheese, half the mozzarella cheese, and the cooked broccoli. * Evenly top the broccoli with the remaining mozzarella cheese and pesto (stirring before adding). * Season both focaccia halves with salt and pepper. * Bake, rotating the sheet pan halfway through, 11 to 13 minutes, or until lightly browned and the cheese has melted. * Remove from the oven; let stand for at least 2 minutes. * Transfer to a cutting board. * While the focaccia bakes, cut off and discard the root end of the lettuce; roughly chop the leaves. * Place the lettuce in a large bowl. * Roughly chop the peppers. * Halve 1 clementine crosswise; squeeze the juice into a bowl, straining out any seeds. * Peel the remaining clementine; separate into segments. * To make the dressing, add the crème fraîche, mustard, and 1 tablespoon of water to the bowl of clementine juice. * Slowly whisk in a drizzle of olive oil until combined; season with salt and pepper to taste. * Just before serving, add the clementine segments, chopped peppers, and dressing to the bowl of chopped lettuce. * Toss to thoroughly coat. * Season with salt and pepper to taste. * Complete the sandwich with the focaccia top. * Using a serrated knife, cut the finished sandwich into 4 equal-sized pieces. * Serve with the salad on the side. * Enjoy."
Recipe_Broccoli_Mozzarella_Calzones_with_Caesar_Salad,IDM232-assets\pdf\,1½ lbs Pizza Dough*3 cloves Garlic*1 Romaine Lettuce Heart*1 lb Broccoli*1 cup Part-Skim Ricotta Cheese*1 8-Ounce Can Tomato Sauce*½ lb Fresh Mozzarella Cheese*¼ cup Grated Parmesan Cheese*2 oz Black Cerignola Olives,"Remove the dough from the refrigerator to bring to room temperature. * Place an oven rack in the center of the oven, then preheat to 475°F. * Wash and dry the fresh produce. * Cut off and discard the bottom 1/2 inch of the broccoli stem, then roughly chop the broccoli. * Peel and roughly chop the garlic. * Tear the mozzarella cheese into small pieces. * Quarter and deseed the lemon. * In a large pan (nonstick, if available), heat 2 teaspoons of olive oil on medium-high until hot. * Add the chopped broccoli; season with salt and pepper. * Cook, stirring occasionally, 4 to 6 minutes, or until lightly browned. * Add 2/3 of the chopped garlic. * Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. * Add 1/4 cup of water; season with salt and pepper. * Cook, stirring occasionally, 2 to 3 minutes, or until the broccoli has softened and the water has cooked off. * Transfer the broccoli to a large bowl. * Add the mozzarella cheese, ricotta cheese, half the Italian seasoning, and the juice of 1 lemon wedge to the bowl; stir to combine. * Season with salt and pepper. * Wipe out the pan. * Lightly oil a sheet pan. * Divide the dough into 2 equal-sized portions. * Using your hands and a rolling pin (or wine bottle), gently stretch and roll the portions into ¼-inch-thick rounds. * (If the dough is resistant, let rest for 5 minutes). * Divide the filling between the centers of the rounds; fold each round in half over the filling. * Using a fork, crimp the edges of the dough to seal. * Transfer to the sheet pan. * Using a fork, poke a few holes across the tops of the calzones to vent. * Lightly drizzle the calzones with olive oil. * Bake 16 to 18 minutes, or until golden brown. * Transfer to a cutting board and let stand for at least 2 minutes. * While the calzones bake, using the flat side of your knife, smash the olives; remove and discard the pits, then roughly chop. * Cut off and discard the root end of the lettuce; roughly chop the leaves. * To make the dressing, in a large bowl, combine the mayonnaise, half the parmesan cheese, the juice of the remaining lemon wedges, and a drizzle of olive oil. * Season with salt and pepper to taste. * While the calzones continue to bake, in the pan used to cook the broccoli, heat 2 teaspoons of olive oil on medium-high until hot. * Add the remaining chopped garlic; cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. * Add the tomato sauce and remaining Italian seasoning. * Cook, stirring frequently, 2 to 3 minutes, or until slightly thickened. * Turn off the heat and season with salt and pepper to taste. * Just before serving, add the chopped olives and lettuce to the bowl of dressing. * Toss to coat; season with salt and pepper to taste. * Cut the baked calzones in half. * Serve with the sauce and salad on the side. * Garnish with the remaining parmesan cheese. * Enjoy."
Recipe_Bucatini_Alfredo_with_Broccoli,IDM232-assets\pdf\,2 Tbsps Crème Fraîche*¼ tsp Crushed Red Pepper Flakes*Heavy Cream*Verjus*Olive Oil*Salt*Pepper*Water,"Heat a large pot of salted water to boiling on high. * Wash and dry the fresh produce. * Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. * Peel and finely chop the garlic. * In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the broccoli pieces; season with salt and pepper. * Cook, stirring occasionally, 4 to 5 minutes, or until slightly softened. * Add 1/2 cup of water; season with salt and pepper. * Cover the pan with aluminum foil and cook 3 to 4 minutes, or until the broccoli has softened and the water has cooked off. * Transfer the broccoli to a bowl. * Wipe out the pan. * While the broccoli cooks, add the pasta to the pot of boiling water and cook 8 to 10 minutes, or until al dente. * Reserving ½ cup of the pasta cooking water, drain thoroughly. * In the same pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the chopped garlic and cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. * Add the flour and as much of the red pepper flakes as desired. * Cook, stirring constantly, 30 seconds to 1 minute, or until thoroughly combined. * Add the heavy cream (shaking the bottle just before opening), verjus, and 1 1/4 cups of water; season with salt and pepper. * Cook, whisking frequently, 2 to 3 minutes, or until thickened; season with salt and pepper to taste. * Add the cooked pasta, cooked broccoli, crème fraîche, and half the reserved pasta cooking water to the pan. * Cook, stirring vigorously, 30 seconds to 1 minute, or until the pasta is thoroughly coated. * (If the sauce seems dry, gradually add the remaining pasta cooking water to achieve desired consistency). * Turn off the heat and season with salt and pepper to taste. * Garnish the finished pasta with the cheese; season with pepper. * Enjoy."
Recipe_Bucatini_Tomato_Sauce_with_Roasted_Broccoli,IDM232-assets\pdf\,6 oz Bucatini Pasta*1 14-Ounce Can Datterini Tomatoes*2 cloves Garlic*2 Tbsps Butter*1 Tbsp Capers*1 lb Broccoli*¾ oz Grana Padano Cheese*1 oz Kalamata Olives*¼ tsp Crushed Red Pepper Flakes," Place an oven rack in the center of the oven, then preheat to 450°F. * Heat a large pot of salted water to boiling on high. * Wash and dry the fresh produce. * Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces. * Place the broccoli on a sheet pan. * Drizzle with olive oil and season with salt, pepper, and up to half the Italian seasoning; toss to coat. * Arrange in an even layer. * Roast 22 to 24 minutes, or until browned and tender when pierced with a fork. * Remove from the oven. * While the broccoli roasts, peel and roughly chop the garlic. * Using the flat side of your knife, smash the olives; remove and discard the pits, then roughly chop. * Grate the cheese on the small side of a box grater. * Add the pasta to the pot of boiling water and cook 8 to 10 minutes, or until al dente. * Turn off the heat. * Reserving 1/2 cup of the pasta cooking water, drain thoroughly and return to the pot. * While the pasta cooks, in a medium pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the chopped garlic, capers, and as much of the red pepper flakes as desired; season with salt and pepper. * Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. * Add the tomatoes and chopped olives; season with salt and pepper. * Cook, stirring occasionally and gently crushing the tomatoes with the back of a spoon, 6 to 7 minutes, or until thickened. * Turn off the heat and season with salt and pepper to taste. * To the pot of cooked pasta, add the roasted broccoli, sauce, butter, half the grated cheese, and half the reserved pasta cooking water; season with salt and pepper. * Cook on medium-high, stirring vigorously, 1 to 2 minutes, or until the pasta is thoroughly coated. * (If the sauce seems dry, gradually add the remaining pasta cooking water to achieve desired consistency). * Turn off the heat and season with salt and pepper to taste. * Garnish the finished pasta with the remaining grated cheese. * Enjoy"
Recipe_Cheesy_Enchiladas_Rojas_with_Mushrooms_Kale,IDM232-assets\pdf\,8 Flour Tortillas*¾ cup Jasmine Rice*1 28-Ounce Can Whole Peeled Tomatoes*4 oz Cremini Mushrooms*3 cloves Garlic*1 Yellow Onion*1 bunch Chives*2 Tbsps Ancho Chile Paste,"Place an oven rack in the center of the oven, then preheat to 450°F. * In a medium pot, combine the rice, half the spice blend, a big pinch of salt, and 1 1/2 cups of water. * Heat to boiling on high. * Once boiling, cover and reduce the heat to low. * Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. * Turn off the heat and fluff with a fork. * Transfer the rice to a large bowl and set aside in a warm place. * While the rice cooks, wash and dry the fresh produce. * Thinly slice the mushrooms. * Remove and discard the stems of the kale; roughly chop the leaves. * Peel and roughly chop the garlic. * Peel and thinly slice the onion. * Place the tomatoes in a bowl; gently break apart with your hands. * Grate the cheese on the large side of a box grater. * Thinly slice the chives. * Halve the lime crosswise. * In a bowl, combine the sour cream, the juice of 1 lime half, and a drizzle of olive oil to make the lime sour cream; season with salt and pepper to taste. * In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the sliced mushrooms in an even layer. * Cook, without stirring, 2 to 3 minutes, or until lightly browned. * Add the chopped kale and 1/2 cup of water; season with salt and pepper. * Cook, stirring frequently, 4 to 5 minutes, or until the kale has wilted and the water has cooked off. * Transfer the vegetables to the bowl of cooked rice; stir to combine. * Wipe out the pan. * In the same pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the chopped garlic and sliced onion; season with salt and pepper. * Cook, stirring frequently, 4 to 5 minutes, or until softened. * Add the chile paste and remaining spice blend; cook, stirring constantly, 30 seconds to 1 minute, or until dark red and fragrant. * Add the tomatoes; season with salt and pepper. * Cook, stirring frequently, 6 to 7 minutes, or until thickened. * Turn off the heat; season with salt and pepper to taste. * Add half the cheese and the juice of the remaining lime half to the bowl of filling. * Stir to combine; season with salt and pepper to taste. * Place the tortillas on a work surface. * Spread about half the sauce into the bottom of a baking dish. * Divide the finished filling among the tortillas; tightly roll up each tortilla around the filling. * Transfer to the baking dish in a single layer, seam side down. * Evenly top with the remaining sauce and remaining cheese. * Bake the enchiladas 10 to 12 minutes, or until the cheese has melted. * Remove from the oven and let stand for at least 2 minutes. * Garnish with the sliced chives. * Serve with the lime sour cream. * Enjoy."
Recipe_Crispy_Fish_Sandwiches_with_Tartar_Sauce_Roasted_Sweet_Potato_Wedges,IDM232-assets\pdf\,21 oz Wild Alaskan Pollock Fillets*2 Cage-Free Farm Eggs*2 Tbsps Sweet Pickle Relish,"Place an oven rack in the center of the oven, then preheat to 450°F. * Wash and dry the fresh produce. * Cut the sweet potatoes lengthwise into 1-inch-wide wedges. * Place on a sheet pan. * Drizzle with olive oil and season with salt and pepper; toss to coat. * Arrange in an even layer, skin side down. * Roast 27 to 29 minutes, or until browned and tender when pierced with a fork. * Reserving the sheet pan, transfer the potatoes to a plate and set aside in a warm place. * While the sweet potatoes roast, cut off and discard the root end of the lettuce; thinly slice the leaves. * Halve the rolls. * In a bowl, combine the mayonnaise, creamy mustard sauce, and sweet pickle relish to make the tartar sauce. * Season the tartar sauce with salt and pepper to taste. * Pat the fish fillets dry with paper towels. * Halve the fillets crosswise. * While the sweet potatoes continue to roast, season the halved fish fillets on both sides with salt, pepper, and the spice blend. * Crack the eggs into a bowl; season with salt and pepper. * Beat the eggs until smooth. * Place the breadcrumbs on a plate; season with salt and pepper. * Working one piece at a time, thoroughly coat the seasoned fillets in the beaten eggs (letting any excess drip off), then in the breadcrumbs (pressing to adhere). * Transfer the coated fillets to a separate plate. * While the sweet potatoes continue to roast, in a large pan (nonstick, if available), heat a thin layer of oil on medium-high until hot. * Once the oil is hot enough that a pinch of breadcrumbs sizzles immediately, working in batches if necessary, add the breaded fish fillets. * Cook 2 to 3 minutes per side, or until browned and cooked through. * (If the pan seems dry, add 1 teaspoon of olive oil before flipping). * Transfer the cooked fish to a paper towel-lined plate; immediately season with salt and pepper. * While the fish cooks, place the rolls on the same sheet pan, cut side up. * Drizzle the rolls with olive oil. * Toast in the oven 4 to 5 minutes, or until lightly browned. * Transfer the rolls to a clean work surface. * Assemble the sandwiches on the toasted rolls. * Serve the sandwiches with the roasted sweet potatoes on the side. * Enjoy"
Recipe_General_Tsos_Chicken_with_Bok_Choy_Jasmine_Rice,IDM232-assets\pdf\,10 oz Chopped Chicken Breast*1 head Baby Bok Choy*¾ cup Jasmine Rice*2 cloves Garlic*1 Tbsp Rice Vinegar*1 1-Inch Piece Ginger*1 tsp Sriracha*1 Tbsp Honey*1 Tbsp Sesame Oil*¼ cup Cornstarch2 Tbsps Hoisin Sauce," Remove the honey from the refrigerator to bring to room temperature. * In a medium saucepan, combine the rice, a big pinch of salt, and 1 1/2 cups of water; heat to boiling on high. * Once boiling, cover and reduce the heat to low. * Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. * Turn off the heat and fluff with a fork. * Cover to keep warm. * While the rice cooks, pat the chicken dry with paper towels. * Place the chicken in a large bowl and season with salt and pepper. * Add the cornstarch; toss to thoroughly coat. * In a medium pan, heat a thin layer of oil on medium-high until hot. * Once the oil is hot enough that a piece of chicken sizzles immediately when added, add the coated chicken in an even layer (tapping off any excess cornstarch before adding). * Cook, without stirring, 3 to 4 minutes, or until lightly browned. * Continue to cook, stirring occasionally, 3 to 4 minutes, or until browned and cooked through. * Leaving any browned bits (or fond) in the pan, transfer the cooked chicken to a plate. * Set aside in a warm place. * While the chicken cooks, wash and dry the fresh produce. * Cut off and discard the root end of the bok choy; roughly chop. * Peel and finely chop the ginger. * Peel and roughly chop the garlic. * In a bowl, combine the hoisin sauce, vinegar, honey (kneading the packet before opening), sesame oil, 1 teaspoon of sriracha, and 1 tablespoon of water to make the sauce. * Add the chopped bok choy, ginger, and garlic to the pan of reserved fond; season with salt and pepper. * (If the pan seems dry, add 1 tablespoon of olive oil). * Cook on medium-high, stirring frequently, 2 to 3 minutes, or until softened and fragrant. * Add the sauce and cook, stirring constantly and scraping up any fond, 30 seconds to 1 minute, or until thoroughly combined. * Turn off the heat and add the cooked chicken to the pan; stir to thoroughly coat. * Season with salt and pepper to taste. * Serve the finished chicken and bok choy with the cooked rice. * Enjoy."
Recipe_HoisinGlazed_Pork_Chops_with_StirFried_Vegetables_Wonton_Noodles,IDM232-assets\pdf\,"4 Boneless, Center-Cut Pork Chops*2 Carrots*1 bunch Chives*2 Tbsps Tahini*2 Tbsps Soy Sauce*¾ lb Fresh Wonton Noodles*2 tsps Sambal Oelek*1 1-Inch Piece Ginger*¼ cup Hoisin Sauce"," Fill a medium pot with water; add a pinch of salt. * Heat to boiling on high. * Wash and dry the fresh produce. * Peel and finely chop the ginger. * Cut out and discard the core of the cabbage; thinly slice the leaves. * Peel the carrots and thinly slice into rounds. * Thinly slice the chives. * In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. * Add the chopped ginger, sliced cabbage, and sliced carrots; season with salt and pepper. * Cook, stirring occasionally, 4 to 5 minutes, or until softened and fragrant. * Transfer the vegetables to a bowl and cover with aluminum foil to keep warm. * Rinse and wipe out the pan. * Pat the pork chops dry with paper towels; season with salt and pepper on both sides. * In the same pan, heat 1 tablespoon of olive oil on medium-high until hot. * Add the seasoned pork chops and cook 3 to 5 minutes on the first side, or until browned. * Flip and cook 2 to 3 minutes, or until lightly browned. * Add the hoisin sauce and 1/4 cup of water. * Cook, frequently spooning the glaze over the pork, 2 to 3 minutes, or until the pork chops are coated and cooked through. * Turn off the heat. * While the pork chops cook, in a bowl, whisk together the soy sauce, tahini, vinegar, and as much of the sambal oelek as desired. * Season with salt and pepper to taste. * Add the noodles to the pot of boiling water and cook 3 to 4 minutes, or until tender. * Turn off the heat. * Drain the noodles thoroughly and return to the pot. * Add the cooked vegetables, sauce, and ¼ cup of water to the pot of cooked noodles. * Cook on medium-high, stirring constantly, 30 seconds to 1 minute, or until thoroughly combined. * Turn off the heat. * Season with salt and pepper to taste. * Serve the finished noodles topped with the glazed pork chops (including any glaze from the pan). * Garnish with the sliced chives. * Enjoy."
